ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,,Address,Delivery time,Food type,,,,,,,,,,,,,,,,,,,,,,
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300,4.2,1000,,Sd Road,57,North Indian  Chinese  Desserts  Continental  South Indian,,,,,,,,,,,,,,,,,,,,,,
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600,4.2,500,,New Mla Quarters,37,Ice Cream,Beverages,,,,,,,,,,,,,,,,,,,,,
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500,4,1000,,New Mla Quarters,39,Chinese,,,,,,,,,,,,,,,,,,,,,,
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500,4.3,1000,,Himayath Nagar Road,30,South Indian,North Indian,,,,,,,,,,,,,,,,,,,,,
2796,Himayatnagar,Hyderabad,Bluefox,800,4.1,1000,,Himayath Nagar Road,36,Biryani,North Indian,,,,,,,,,,,,,,,,,,,,,
2811,Ashok Nagar,Bangalore,Art Of Delight,250,4.6,100,,Residency Road,34,Ice Cream,Desserts,,,,,,,,,,,,,,,,,,,,,
2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300,4.3,50,,Kamaraj Road,39,Tandoor,Mughlai,,,,,,,,,,,,,,,,,,,,,
2824,Richmond Town,Bangalore,Fanoos,300,4.2,500,,Hosur Road,33,Biryani,Tandoor,,,,,,,,,,,,,,,,,,,,,
2827,Richmond Town,Bangalore,In Wok,500,4.3,100,,Richmond,44,Chinese,,,,,,,,,,,,,,,,,,,,,,
2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450,4.1,100,,Mg Road,31,Desserts,Ice Cream,,,,,,,,,,,,,,,,,,,,,
2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300,2.9,80,,Church Street,33,Chinese,Continental,,,,,,,,,,,,,,,,,,,,,
2840,Ashok Nagar,Bangalore,Roomali,1000,4.4,100,,Church Street,35,North Indian,Indian,,,,,,,,,,,,,,,,,,,,,
2843,Ashok Nagar,Bangalore,Tadka Singh,300,4.2,100,,Church Street,38,Punjabi,North Indian,,,,,,,,,,,,,,,,,,,,,
2914,Ashok Nagar,Bangalore,Bheemas,550,4.3,100,,Church Street,31,Andhra,,,,,,,,,,,,,,,,,,,,,,
2915,Vasanth Nagar,Bangalore,Watson'S,450,2.9,80,,1St Main Road,53,Fast Food,,,,,,,,,,,,,,,,,,,,,,
